nomem_encr,Q30,Q30_E,Code1,Code2,Code3
819311,,,,,
819403,,,,,
819633,Privacy,Privacy,1.1,,
819635,,,,,
819749,niet relevant genoeg voorde bedrijven,not relevant enough for companies,4.2,,
819799,Privacy is ver te zoeken,Privacy is hard to come by,1.1,,
819878,te veel gedoe,too much hassle,3.3,,
819891,,,,,
820172,,,,,
820181,,,,,
820186,Mijn man is het hier niet mee eens,My husband disagrees with this,7.1,,
820455,,,,,
820500,,,,,
820544,geen zin,no point,7.1,,
820626,"Vind ik helemaal niet leuk. Heb al een keer met zoiets mee gedaan, moest bijgehouden worden waar ik allemaal naar toe ben geweest en hoe lang. Ook met een apparaatje van LISS Panel.","I don't like it at all. I've done something similar before, and it required tracking where I'd been and for how long. I also used a LISS Panel device.",6.5,,
820723,,,,,
820742,,,,,
820748,"Ik deel al genoeg via de computer,het blijft volgens mij altijd wel ergens opgeslagen.","I share enough via the computer, I think it always stays saved somewhere.",1.2,6.5,
820767,nee,no,8.1,,
820785,Ik wil dat soort gegevens niet prijsgeven.,I don't want to give away that kind of information.,1.1,,
820827,geen zin.,no point.,7.1,,
820974,,,,,
821051,,,,,
821096,,,,,
821097,kost te veel tijd,takes too much time,3.3,,
821115,Ik wil niet alles delen,I don't want to share everything,1.1,,
821176,,,,,
821209,Geen zin,No point,7.1,,
821212,Ik heb de telefoon niet altijd bij me.dus gegevens kloppen niet helemaal,"I don't always have my phone with me, so the information isn't entirely correct.",4.1,,
821221,"ik heb ze niet, denk ik. ik zie van Samsung health de dagelijkse stappen, maar omdat ik de voorwaarden/privacykennisgeving etc nooit heb geaccepteerd, is dat alles wat het doet. om middernacht staat het weer op 0.","I don't think I have them. I can see the daily steps from Samsung Health, but because I never accepted the terms and conditions/privacy notice, etc., that's all it does. At midnight, it's back to 0.",4.1,,
821229,,,,,
821424,privacy redenen,privacy reasons,1.1,,
821445,Gewoon niet!,Just don't!,8.1,,
821493,,,,,
821624,,,,,
821673,weinig vertrouwen,little confidence,2.1,6.1,
821680,Ik wil dit soort dingen niet moeten doen op mijn iPhone. Bovendien: ik kan niet goed uit de voeten,"I don't want to have to do this kind of thing on my iPhone. Besides, I'm not very good at it",7.1,5.2,
821777,,,,,
821784,,,,,
821893,Geen tijd voor,No time for,3.3,,
821948,Ik heb bewust de stappenteller uitgezet.mik zet het niet aan voor onde4zoek,I deliberately turned off the pedometer. I don't turn it on for research.,1.1,4.1,4.4
821951,,,,,
821984,,,,,
822076,vind ik moeilijk. ben niet zo handig met vreemde dingen,I find it difficult. I'm not very handy with strange things.,3.2,3.3,
822113,,,,,
822158,,,,,
822210,Geen specifieke reden,No specific reason,8.1,,
822281,,,,,
822354,geen tijd en ook geen zin,no time and no desire,7.1,3.3,
822378,,,,,
822387,,,,,
822402,Geen behoefte en geen tijd,No need and no time,4.3,3.3,
822424,,,,,
822482,,,,,
822521,,,,,
822540,,,,,
822592,,,,,
822634,,,,,
822705,,,,,
822744,"Ik heb wat betreft mijn aantallen stappen geen app. op mijn smartphone. Heb daar ook nooit behoeften aan gehad. Ga dat ook in de toekomst ook niet als zodanig instellen. Heb bijvoorbeeld wel o.a. communicatie met mijn TV via een app op mijn mobiel m.b.t. de instelbaarheid van mijn 2 hoor-toestelletjes via een zenderkastje, gekoppeld aan onze T.V.","I don't have an app on my smartphone for my step count. I've never needed one, and I won't be setting one up in the future. For example, I do have communication with my TV via an app on my phone, which allows me to adjust my two hearing aids through a transmitter box connected to our TV.",4.1,,
822772,Dat is prive,That's private,1.1,,
822836,hoef ik niet mede te delen,I don't need to share,7.1,,
822851,,,,,
822854,Daar voel ik niets voor.,I don't feel like doing that.,7.1,,
822863,geen belangstelling,no interest,7.1,,
822882,altijd telefoon bij je moeten hebben is vervelend,always having to have your phone with you is annoying,3.4,4.1,
822976,voelt niet goed,doesn't feel good,7.1,,
823188,Ik hou het graag privÃ©,I like to keep it private,1.1,,
823248,Prive,Private,1.1,,
823264,Teveel gedoe met gegevenspakketje,Too much hassle with data package,3.3,,
823345,,,,,
823461,,,,,
823468,"Ik wil niet altijd mijn telefoon moeten meenemen. Nu laat ik hem vaak thuis. Alleen als ik met de auto reis, neem ik hem mee, voor het geval ik moet opbellen.","I don't always want to have to carry my phone. I often leave it at home now. I only take it with me when I'm traveling by car, just in case I need to make a call.",4.1,4.4,
823489,Gee zin en tijd voor over,No time and desire for more,7.1,3.3,
823510,"Teveel gedoe, veel te moe, geen energieverspilling, puf of prioriteit!! Eerst beterschap en verbetering gezondheid!! Want kapot, energie en vitamine tekort + lichamelijke klachten waardoor helaas zelfs geen noodzakelijke mantelzorg doodzieke moeder!!","Too much fuss, way too tired, no energy, no energy, no priority!! Get well soon and improve your health!! Because I'm broken, lacking energy and vitamins, and having physical complaints, which unfortunately means I can't even get essential informal care for my terminally ill mother!!",3.3,5.3,
823571,,,,,
823617,geen tijd,no time,3.3,,
823621,,,,,
823675,,,,,
823688,"Heb geen zin in nog meer, vragen en onderzoeken.",I don't feel like asking any more questions or investigating.,7.1,,
823695,Nvt,N/A,8.1,,
823806,Geen tijd voor,No time for,3.3,,
823821,nvt,n/a,8.1,,
823852,"Ik heb hier gewoon geen interesse in om dit te doen , ik dek dat ik hier moeilijk mee kan omgaan , om het uit te voeren .","I just have no interest in doing this, I think I'll have a hard time dealing with it, carrying it out.",7.1,3.2,
823868,,,,,
823953,"Ik kan redelijk goed met mijn smartphone overweg, veel apps zijn nuttig en bruikzaam. Dat denk ik van deze extra apps niet te kunnen zeggen. Het lijkt me op het eerste gezicht een heel gedoe om dit soor5t zaken bij te houden en te verslaan.","I'm pretty good with my smartphone; many apps are useful and helpful. I don't think I can say the same for these extra apps. At first glance, it seems like a hassle to keep track of and report on these kinds of things.",3.1,3.3,
824057,"1) vind dit te privacy gevoelig; 2) geen zekerheid dat de gegevens daadwerkelijk vertrouwelijk worden behandeld (regelmatig wordt bekend dat een (vaak overheids) organisatie privacy gegevens toch (mis-) gebruikt voor doelen die ze niet aangeven of kenbaar maken (belastingdienst, UWV, ziektekostenverzekering, etc. 3) vind de vergoeding a-primair) t.o.v. dit risico, en b-secondair) voor wat je ervoor moet doen, veel te weinig.","1) I find this too privacy-sensitive; 2) I have no certainty that the data is actually treated confidentially (it regularly becomes known that an (often government) organisation (mis)uses privacy data for purposes that they do not specify or disclose (tax authorities, UWV, health insurance, etc.). 3) I find the compensation (a-primary) compared to this risk, and b-secondary) for what you have to do in return, far too little.",1.1,2.1,6.3
824071,Ik heb een dwarslaesie en ben rolstoelafhankelijk. Ik kan niet staan / (trappen) lopen. Veel vragen in dit onderzoek zijn voor mij ook niet van toassing.,I have a spinal cord injury and am wheelchair-bound. I cannot stand or walk (up or down stairs). Many of the questions in this survey are also unacceptable to me.,5.2,4.4,
824089,prive,private,1.1,,
824090,"Ik geloof niet dat Google is eerlijk, ze kunnen altijd data voor een andere doel gebruiken.","I don't believe Google is honest, they can always use data for another purpose.",6.4,,
824096,,,,,
824154,,,,,
824237,,,,,
824297,,,,,
824353,Ik heb te weinig tijd,I don't have enough time,3.3,,
824365,te ingewikkeld,too complicated,3.2,,
824386,te veel stappen,too many steps,3.3,,
824420,op mijn werk ligt de telefoon in een lokker.En ik maak geen gebruik van een stappenteller.,"At work, my phone is in a locker. And I don't use a pedometer.",4.1,,
824438,"Te druk, geen tijd/aandacht ervoor willen nemen","Too busy, don't want to take time/attention for it",3.3,,
824475,Kom amper het huis uit vanwege zware benauwdheid door COPD,I hardly leave the house due to severe shortness of breath caused by COPD,5.2,4.1,
824484,Geen zin in,No sense in,7.1,,
824490,"Mijn telefoon deed allemaal niet de goede dingen, waardoor het niet lukte. Toen ben ik terug gegaan in de lijst en heb mijn ja veranderd in nee. Het was te veel gedoe.","My phone wasn't doing all the right things, so it wasn't working. So I went back through the list and changed my ""yes"" to ""no."" It was too much hassle.",3.4,3.3,
824551,het lukt mij niet om op google te starten.,I can't get it to start on google.,3.4,,
824578,,,,,
824597,Omdat ik op dit moment chemotherapie krijg en weinig beweging aan kan,Because I am currently undergoing chemotherapy and can do very little exercise,5.2,4.1,
824679,,,,,
824682,Ik vind dat we steeds minder privacy hebben en niet alles hoeft onderzocht te worden,I think we have less and less privacy and not everything needs to be investigated,1.2,,
824685,,,,,
824768,Privacy,Privacy,1.1,,
824789,,,,,
824826,,,,,
824847,,,,,
824866,,,,,
824897,Geen zin,No point,7.1,,
824994,Gegevens Samsung Health zijn niet adequaat. Ik gebruik een smartwatch en die gegevens zijn wel correct.,"Samsung Health data is incorrect. I use a smartwatch, and the data is correct.",4.2,,
825048,teveel werk,too much work,3.3,,
825059,"Misschien heb ik het niet goed begrepen, maar ik kreeg de indruk dat ik in feite constant de smartphone bij me moet dragen en dat zou ik dus heel vaak vergeten.","Maybe I misunderstood, but I got the impression that I actually have to carry my smartphone with me all the time and that I would therefore forget it very often.",4.1,4.4,
825146,,,,,
825155,"er zijn woorden die niet begrijp,ik heb mijn telefoon voor bellen en sms soms met voetstappen ook niet altijd","There are words that I do not understand, I have my phone for calling and texting sometimes with footsteps also not always",3.3,,
825160,Geen interesse,Not interested,7.1,,
825186,,,,,
825198,Ik heb deze functie niet op mijn telefoon.,I don't have this feature on my phone.,3.4,,
825240,Ik vertrouw het niet,I don't trust it,2.1,,
825354,"werk met stappenteller op horloge, vind ik voldoende, telefoon heb ik niet altijd bij me","I work with a pedometer on my watch, which I find sufficient, I don't always have my phone with me",4.1,,
825501,,,,,
825552,,,,,
825612,,,,,
825674,Ik weet niet hoeveel stappen ik zet per dag en het interesseert mij ook niet.,I don't know how many steps I take per day and I don't care.,7.1,,
825728,,,,,
825863,voelt niet fijn en veilig,doesn't feel nice and safe,7.1,2.1,
825903,,,,,
825988,"Ik wilde de gegevens delen, maar moest daarvoor allerlei aanpassingen in mijn google instellingen. Dat wil ik liever niet.","I wanted to share the data, but that required all sorts of changes to my Google settings. I'd rather not.",7.1,1.1,
826013,Geen vertrouwen in google,No trust in Google,6.4,,
826077,,,,,
826126,Ik zie het belang van het onderzoek niet in.,I do not see the importance of the investigation.,4.2,,
826290,Te veel gedoe,Too much hassle,3.3,,
826294,,,,,
826303,Te veel informatie online houd ik niet van,I don't like too much information online,1.1,,
826309,,,,,
826338,Ik zie hier voor mijzelf geen enkel voordeel in en weet niet wie deze gegevens verder via mijn telefoon kan uitlezen,I don't see any benefit in this for myself and I don't know who else can read this data through my phone.,6.3,2.1,
826364,,,,,
826366,geen specifieke redenen,no specific reasons,8.1,,
826370,,,,,
826387,,,,,
826416,privacy,privacy,1.1,,
826446,ik ben niet echt computervaardig,I'm not really computer literate,3.2,,
826544,,,,,
826553,,,,,
826559,"Geen duidelijke reden, maar voelt niet goed.","No clear reason, but doesn't feel right.",7.1,,
826580,houd er niet van,don't like it,7.1,,
826609,,,,,
826818,Niet veel behoefte aan.,Not much need for it.,4.3,,
826963,,,,,
826986,Geen zin in,No sense in,7.1,,
827072,Geen zin in sorry,No sense in sorry,7.1,,
827157,IK heb hier geen behoefte aan.,I have no need for this.,4.3,,
827185,Heel veel instellingen weten al meer van een persoon dan je eigenlijk zou verwachten!,Many institutions already know more about a person than you would actually expect!,1.2,,
827209,nvt,n/a,8.1,,
827215,inbreuk op privacy,invasion of privacy,1.1,,
827235,Toch wel prive,Still private,1.1,,
827253,Nvt,N/A,8.1,,
827291,doe niet mee,don't participate,8.1,,
827438,Hoeft niet,It is not necessary,4.3,,
827477,Simpele reden. Geen Belangstelling,Simple reason. No interest.,7.1,,
827520,,,,,
827522,,,,,
827557,geen interesse,no interest,7.1,,
827587,,,,,
827590,,,,,
827737,mijn leeftijd,my age,5.3,,
827758,kost mij teveel energie,costs me too much energy,3.3,,
827819,privacy,privacy,1.1,,
827831,Ik maak me zorgen,I'm worried,7.2,,
827984,,,,,
828000,Ik wil geen tijd besteden aan dit soort onderzoeken. Het invullen van de maandelijkse vragenlijsten kost me al tijd genoeg.,I don't want to spend time on these kinds of surveys. Completing the monthly questionnaires takes up enough time as it is.,3.3,,
828084,,,,,
828128,,,,,
828164,privacy,privacy,1.1,,
828170,xx,xx,8.2,,
828227,,,,,
828361,?,?,8.2,,
828381,,,,,
828414,,,,,
828482,Niet genoeg vertrouwen,Not enough trust,2.1,6.1,
828599,Heb geen behoefte aan marketing op basis van verrichtingen.,Don't need performance-based marketing.,2.3,,
828613,nvt,n/a,8.1,,
828665,"Ik denk dat ik het ingewikkeld ga vinden. Ik wil geen extra â€˜werkâ€™ hebben, omdat ik het al druk genoeg heb met mijn dagelijkse bezigheden.","I think I'll find it complicated. I don't want to have any extra ""work"" because I'm already busy enough with my daily activities.",3.2,3.3,
828680,Niet van toepassing,Not applicable,2.1,,
828695,,,,,
828701,,,,,
828756,,,,,
828765,,,,,
828789,"Nog meer activiteiten op mijn telefoon, vind dat ik al genoeg doe met google , heb eigenlijk genoeg aan mijn apps, telefoon en navigatie.","Even more activities on my phone, I think I do enough with Google, actually have enough with my apps, phone and navigation.",3.3,,
828794,vertrouwen,to trust,2.1,6.1,
828899,Twijfel,Doubt,7.2,,
828955,,,,,
828994,Ik vind het invullen van de normale maandelijkse enquÃªte voldoende,I think completing the regular monthly survey is sufficient,6.5,,
829016,Slechte gezondheid,Poor health,5.2,,
829049,,,,,
829110,,,,,
829171,,,,,
829192,erg verwarrend en het lukt mij niet,very confusing and I can't do it,3.3,,
829222,Te prive,Too private,1.1,,
829257,"geen interesse, te veel gedoe etc,","no interest, too much hassle etc,",7.1,3.3,
829293,,,,,
829309,Wil het niet,Don't want it,7.1,,
829353,,,,,
829432,Mijn conditie is vaak wisselend,My condition often changes,5.2,,
829483,Ik doe nooit aan zoiets mee,I never participate in something like that,7.1,,
829492,te druk met andere zaken,too busy with other things,3.3,,
829544,omdat ik het niet interessant vind,because I don't find it interesting,5.4,,
829583,,,,,
829586,,,,,
829632,"Ik ben oud en geen voorbeeld van betekenis voor de wetenschap!! Misschien dom, maar zo voel ik het.","I'm old and not a role model for science! Maybe I'm stupid, but that's how I feel.",4.4,,
829633,"Ik heb lang niet altijd mijn telefoon bij mij. Op mijn werk loop ik het meest maar mijn telefoon ligt in mijn tas, kan dus niet na gaan hoeveel ik loop","I don't always have my phone with me. At work, I walk most of the time, but my phone is in my bag, so I can't track how much I walk.",4.1,4.4,
829672,,,,,
829949,,,,,
830004,,,,,
830059,ik heb daar geen interesse in,I am not interested in that,7.1,,
830136,,,,,
830139,,,,,
830143,,,,,
830185,"ik hoef niet te weten, heb geen zin om het bij te houden, hoeveel stappen ik per dag doe","I don't need to know, and I don't feel like keeping track of, how many steps I take per day",7.1,,
830284,"Ik vind dit privÃ© en deel dat niet met anderen, daarnaast neem ik niet altijd de telefoon mee en doe dat bewust niet, ook omdat ik niet altijd bereikbaar wil zijn","I consider this private and do not share it with others. I also do not always take the phone with me and I consciously do not do so, also because I do not always want to be available.",1.1,4.4,
830324,,,,,
830343,Ik wil mijn gegevens over afgelegde meters niet vrijgeven,I do not want to release my data about meters traveled,1.1,,
830453,ik snap er meestal niet veel van hoe iets moet en de moeite is me te veel,I usually don't understand much about how something works and the effort is too much for me,3.3,,
830634,"Omdat mijn mobiele telefoon kapot is en de lading snel leeg is, kan ik niet meedoen","Because my mobile phone is broken and the charge runs out quickly, I can't participate",3.4,,
830651,Ik vertrouw google en samsung niet dat de gegevens niet worden gedeeld.,I don't trust google and samsung not to share the data.,6.4,2.1,
830673,Wil niet alles delen,Don't want to share everything,1.1,,
830679,,,,,
830687,,,,,
830712,Vertrouw het niet helemaal,Don't trust it completely,2.1,6.1,
830780,,,,,
830825,Heb er geen zin in om hier aan mee te doen,I don't feel like participating in this,7.1,,
830838,,,,,
830868,,,,,
830912,Privacy,Privacy,1.1,,
830965,,,,,
830966,Ik vertrouw dat niet,5,2.1,6.1,
831039,,,,,
831091,,,,,
831124,ik beweeg genoeg wil het niet delen,I move enough but don't want to share it,1.1,,
831171,,,,,
831207,"Hoewel ik zelf deze gegevens heb en raadpleeg, is mij reden om niet mee te doen dat niet werd aangegeven vanaf wanneer en hoe lang het gebruik van gegevens voor het onderzoek zou duren.","Although I have and consult this data myself, my reason for not participating is that it was not indicated from when and for how long the data would be used for the research.",2.2,,
831208,Gaat te ver,Going too far,1.1,,
831301,Geen interesse,Not interested,7.1,,
831304,,,,,
831326,,,,,
831408,,,,,
831443,,,,,
831478,,,,,
831482,Mijn gezondheid vind ik privÃ© hoe ik daarmee omga wil wel wat delen zoals deze vragen maar daar blijft het bij,"I consider my health private and how I deal with it, I would like to share some things like these questions, but that's it",1.1,,
831494,,,,,
831631,,,,,
831650,,,,,
831665,,,,,
831677,,,,,
831680,,,,,
831808,"Ik loop veel op mâ€™n werk, maar houd mijn telefoon in mâ€™n tas. Mijn gegevens kloppen dan niet met de realiteit.","I walk a lot at work, but I keep my phone in my bag. My data doesn't match reality then.",4.1,4.4,
831936,,,,,
832008,,,,,
832017,Vraagt teveel tijd,Takes too much time,3.3,,
832088,geen intresse,not interested,7.1,,
832113,,,,,
832170,,,,,
832205,Wil de gegevens niet opvragen,Do not want to request the data,7.1,,
832231,Het begin van het einde,The beginning of the end,8.3,,
832259,Onbetrouwbaar,Unreliable,2.1,,
832281,Ik heb al die gezondheidsapp niet aan op mijn telefoon,I don't have all those health apps on my phone,3.4,,
832292,,,,,
832296,,,,,
832302,hecht veel waarde aan privacy.,attaches great importance to privacy.,1.1,,
832333,...,...,8.2,,
832382,,,,,
832403,Ik heb al een stappenteller met allerlei gegevens,I already have a pedometer with all kinds of data,7.1,,
832408,Nu geen zin in. Teveel andere dingen die me bezighouden,I don't feel like it right now. Too many other things keeping me busy.,7.1,3.3,
832479,geen tijd en niet veel vertrouwen.,no time and not much confidence.,3.3,6.1,
832495,,,,,
832561,geen behoefte aan,no need for,4.3,,
832577,Ben aan het herstellen van een operatie aan mijn voeten. Graag doe ik een andere keer mee.,I'm recovering from foot surgery. I'd love to participate another time.,5.2,,
832582,privaat,private,1.1,,
832674,Google heeft die informatie over mij niet.,Google doesn't have that information about me.,3.4,,
832679,,,,,
832724,,,,,
832752,,,,,
832813,privacy,privacy,1.1,,
832931,,,,,
832986,ik doe niet zoveel met mijn telefoon,I don't do much with my phone,4.1,,
833041,,,,,
833105,Ik heb nog niet zo lang een smartphone en denk dus dat er nog niet veel gegevens van mij zijn. Bovendien vind ik het niet interessant.,"I haven't had a smartphone for very long, so I don't think there's much data on me yet. Besides, I don't find it interesting.",4.1,5.4,
833200,Voor mijzelf zie ik niet de meerwaarde. Dagelijks nog meer info is niet nodig!,I don't see the added value for myself. More information every day isn't necessary!,6.3,,
833239,Ik ga geen onbekende app op mijn telefoon installeren.,I'm not going to install an unknown app on my phone.,7.1,,
833261,,,,,
833288,Er word mij teveel onderzocht,I am being examined too much,1.2,,
833291,voor mij onbelangrijk,unimportant to me,4.3,,
833346,"Ik denk , dat ik te oud ben voor deze Activitijten en te weinig kan bijdragen.","I think, that I am too old for these activities and can contribute too little.",4.4,4.1,
833547,,,,,
833560,Te veel gedoe,Too much hassle,3.3,,
833569,geen interesse.,not interested.,7.1,,
833581,,,,,
833586,,,,,
833636,,,,,
833758,Geen interesse,Not interested,7.1,,
833766,,,,,
833803,,,,,
833874,,,,,
833883,,,,,
833895,Ik ben niet geÃ¯nteresseerd in deelname.,I am not interested in participating.,7.1,,
833923,Volgens mij teveel rompslomp er omheen,I think there is too much hassle around it,3.3,,
833993,,,,,
834047,,,,,
834100,Geen zin in,No sense in,7.1,,
834170,In het algemeen: mijn privacy,In general: my privacy,1.1,,
834280,Ik heb geen zin om mijn smartphone wanneer ik sport mee te nemen,I don't feel like taking my smartphone with me when I exercise,7.1,4.1,
834332,,,,,
834341,,,,,
834356,omdat ik niet veel beweeg heeft het voor mij geen zin om hier aan mee te doen.,"Since I don't exercise much, it makes no sense for me to participate in this.",4.1,4.4,
834380,Geen interesse hierin,Not interested in this,7.1,,
834429,,,,,
834483,Geen zin in,No sense in,7.1,,
834518,Neem vaak mijn telefoon niet mee dusâ€¦..,I often don't take my phone with me so...,4.1,,
834640,,,,,
834652,,,,,
834714,te weinig informatie,too little information,6.2,,
834747,,,,,
834759,geen reden,no reason,8.1,,
834818,Geen zin om apt te downloaden.,Don't feel like downloading apt.,3.3,,
834838,Gaat ze niets aan,None of her business,1.1,,
834844,"Ik ben te slordig om hier aan mee te doen, mijn mobiel zwerft vaak rond in huis, of in mijn tas. Ik heb hem vrijwel nooit op zak. Ook vind ik het niet nodig om deze gegevens over mezelf te hebben.",I'm too careless to participate in this; my phone is often lying around the house or in my bag. I hardly ever have it on me. I also don't think it's necessary to have this information about myself.,4.1,4.4,4.3
834871,,,,,
834891,.,.,8.2,,
834905,Ik vind me daar te oud voor om mij daarin te verdiepen. Ik heb er ook geen tijd voor.,I think I'm too old to delve into that. I don't have the time either.,3.2,3.3,
834920,geen interesse,no interest,7.1,,
834954,Ik deel al genoeg.,I share enough already.,6.5,,
834998,,,,,
835037,privacy,privacy,1.1,,
835075,"Daar begin ik niet aan, mijn google locatie geschiedenis heb ik nooit aan. Ga ik ook niet doen.",I'm not going to do that. I never use my Google location history. And I'm not going to.,7.1,4.1,
835089,,,,,
835119,prive,private,1.1,,
835131,,,,,
835358,,,,,
835403,,,,,
835437,Heb geen interesse.,Not interested.,7.1,,
835452,,,,,
835485,,,,,
835557,,,,,
835617,,,,,
835623,,,,,
835647,ben niet zo handig met een smart phone,I'm not very handy with a smartphone,3.1,,
835656,Gegevens liggen al op te veel plekken,Data is already in too many places,1.2,,
835827,,,,,
835948,,,,,
835952,Wil niet met iedereen delen wanneer en waar ik beweeg,Don't want to share with everyone when and where I move,1.1,,
836053,ik kan niet zo goed omgaan met nieuwe info op mijn tel. daar wordt ik nerveus van.,I'm not very good at handling new information on my phone. It makes me nervous.,3.3,,
836112,,,,,
836132,ik probeerde in te loggen maar dit lukte niet en ik ga er niet overdadig veel energie in steken en vind het jammer dat het dan niet mensvriendelijker is.,"I tried to log in but it didn't work, and I'm not going to put too much effort into it, as I think it's a shame it's not more user-friendly.",3.1,3.3,
836221,,,,,
836225,,,,,
836292,Ik heb mijn telefoon niet steeds bij mij.,I don't always have my phone with me.,4.1,,
836295,,,,,
836345,Te privÃ©,Too private,1.1,,
836373,geen idee\,no idea\,8.1,,
836434,,,,,
836437,Geen reden,No reason,8.1,,
836505,Wil niet gegevens delen,Do not want to share data,1.1,,
836582,,,,,
836611,,,,,
836643,"ik werk nu op laptop. Geen idee hoe ik psakketjes op smartphone moet installeren. Ik wil wel, maar heb niet de kennis.","I'm currently working on a laptop. I have no idea how to install PowerPoints on my smartphone. I'd like to, but I don't have the knowledge.",3.2,3.1,
836698,,,,,
836770,Ik vind dat mijn privacy al genoeg word bekeken,I think my privacy is already being looked at enough,1.2,,
836822,,,,,
836837,,,,,
836842,,,,,
836885,Vind ik niet nodig !,I don't think that's necessary!,4.3,,
836905,De procedure die ik volg om mee te doen stokt. Ik krijg de melding dat het downloaden niet lukt. Ik kan dus niet mee doen,My participation process is stuck. I get a message that the download failed. So I can't participate.,3.1,,
836922,,,,,
837227,Te ingewikkeld om het voor elkaar te krijgen.,Too complicated to get it done.,3.2,,
837250,,,,,
837261,Privacy,Privacy,1.1,,
837302,,,,,
837429,Bij het bewaren gaat het mis. De gegevens kunnen niet opgeslagen worden,An error occurred while saving. The data could not be saved.,3.1,,
837469,Te privÃ©,Too private,1.1,,
837474,geen zin,no point,7.1,,
837496,,,,,
837550,,,,,
837591,,,,,
837606,Te veel stappen waar we gegevens niet direct delen maar wel indirect,Too many steps where we don't share data directly but do share it indirectly,3.3,1.1,
837867,,,,,
837940,Prive,Private,1.1,,
838024,Ik heb momenteel geen interesse om mee te doen.,I am not interested in participating at this time.,7.1,,
838031,"Ik deel de smartphone met mijn man, daardoor is het lastig om mee te doen.","I share my smartphone with my husband, which makes it difficult to participate.",3.4,,
838116,Geen bepalde reden.,No particular reason.,8.1,,
838272,,,,,
838297,I.v.m een heupprotese is het bewegen per dag erg wisselend.,"Due to a hip prosthesis, my daily exercise varies greatly.",5.2,,
838345,Ben momenteel niet in de gelegenheid.i.v.m.breuk heup.,I am currently unable to attend due to a hip fracture.,5.2,,
838360,Ik draag mijn telefoon bijna nooit bij me.,I almost never carry my phone with me.,4.1,4.4,
838381,,,,,
838403,,,,,
838424,om prive redenen...,for private reasons...,1.1,,
838437,,,,,
838478,,,,,
838490,Voelt invasive,Feels invasive,1.1,,
838494,ik wil het zo laten.,I want to leave it that way.,7.1,,
838510,Geen interesse,Not interested,7.1,,
838607,,,,,
838632,Te lage vergoeding,Too low compensation,6.3,,
838637,privacy,privacy,1.1,,
838653,ik wil wel maar afgelopen week ben ik ziek geweest en zondag was ik weer beter dus toen veel gelopen,"I want to, but last week I was sick and on Sunday I was better again, so I walked a lot then",5.2,4.4,
838690,Ik heb te weinig kennis om hier aan mee te doen,I don't have enough knowledge to participate in this,6.2,,
838701,,,,,
838851,,,,,
838909,,,,,
838932,Heb er geen behoefte aan,I don't need it,4.3,,
838967,Liever niet meedoen,Prefer not to participate,7.1,,
839010,,,,,
839020,,,,,
839026,,,,,
839031,,,,,
839300,Ben digibeet. Ik krijg hele andere beelden op mijn gezondheidsapp. en kom niet verder,"I'm a computer illiterate. I'm getting completely different images on my health app, and I can't make any progress.",3.1,,
839382,,,,,
839413,geen interesse,no interest,7.1,,
839443,,,,,
839453,teveel werk,too much work,3.3,,
839501,"Gisteren heb ik juist samsung health uitgezet, dus denk dat het nu niet klopt met mijn verhaal","Yesterday I turned off Samsung Health, so I think it doesn't match my story now",3.4,,
839529,"Krijg gegevens niet goed door ,zie andere info dan opgegeven.","I am not receiving data correctly, I see different information than specified.",3.1,,
839565,"Dan moet ik er iets voor doen waar ik nu geen zin in heb. Ik weet dat Google mijn gegevens opslaat, die gebruik ik voor mijn reisdeclaraties, maar ik heb nu vooral geen zin om iets te moeten opvragen...","Then I'll have to do something I don't feel like doing right now. I know Google stores my data, which I use for my travel expenses, but I really don't feel like having to request anything right now...",7.1,,
839578,,,,,
839581,Omdat ik bang ben dat de gegevens misbruikt worden.,Because I am afraid that the data will be misused.,2.1,,
839590,NVT,NVT,8.1,,
839663,,,,,
839694,,,,,
839744,,,,,
839810,Geen,No,8.1,,
839871,Ik draag de telefoon vrijwel nooit op het lichaam en daarbij gebruik ik de telefoon zo minimaal mogelijk.,"I hardly ever wear the phone on my body and when I do, I use it as little as possible.",4.1,4.4,
839901,,,,,
839904,"Ik begrijp, dat het voor onderzoek belangrijk is,maar doe hier toch liever niet aan mee. Ik vind het toch te persoonlijk wat mezelf betreft.","I understand it's important for research, but I'd rather not participate. I find it too personal for me.",1.1,,
839975,PrivÃ©,Private,1.1,,
839978,Geen interesse,Not interested,7.1,,
840128,Lig ziek op bed,Lying sick in bed,5.2,,
840185,,,,,
840237,Heb ik geen zin in.,I don't feel like it.,7.1,,
840267,Het lukte me de vorige keer niet,I didn't succeed last time,6.5,,
840390,Geen zin in ingewikkeld gedoe,No need for complicated fuss,3.2,,
840456,Zeg ik liever niet,I'd rather not say,8.1,,
840463,ik vind het niet nodig,I don't think it's necessary,4.3,,
840496,geen interesse,no interest,7.1,,
840515,,,,,
840652,Niet nodig om te delen voor mij geen meerwaarde,"No need to share, no added value for me",4.3,6.3,
840767,Geen behoefte aan.,No need for that.,4.3,,
840795,,,,,
840850,Prive,Private,1.1,,
840869,Schikt mij op dit moment niet,Doesn't suit me at the moment,7.1,,
840889,,,,,
840949,,,,,
840951,-,-,8.2,,
840994,.,.,8.2,,
841082,,,,,
841134,Ik doe al een stappen arrangement en zie het niet nodig om nog een keer dit te delen,I am already doing a step arrangement and don't see the need to share this again,4.3,,
841183,Teveel moeite,Too much effort,3.3,,
